,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior month),Status
31,N/A,N/A,amzn,N/A,N/A,N/A,N/A,N/A,116.96,92.46,4.62,19.17,4.99,5.72,5.17,972910000000.0,696.93,972910000000.0,981090000000.0,59.88,1.22,4.63,35.03,4.63,114990000000.0,972910000000.0,N/A,34.20,196.70,37.40,68400000000.00001,136.33,96810000000.0,1.11,164.89,55290000000.0,972910000000.0,14.56,58.66,N/A,0.88,0.71,3080000.0,N/A
32,N/A,N/A,an,N/A,N/A,N/A,N/A,N/A,140.06,15.72,0.30,1.78,1.92,4.32,5.44,5980000000.0,226.13,5980000000.0,10330000000.0,10.26,0.86,0.51,11.07,0.51,3520000000.0,5980000000.0,N/A,4.34,83.50,1.00,350500000.0,3.99,4700000000.0,0.99,38.22,1270000000.0,5980000000.0,11.83,89.36,N/A,4.99,5.66,3100000.0,N/A
33,N/A,N/A,anf,N/A,N/A,N/A,N/A,N/A,187.40,17.35,0.43,1.58,3.55,1.08,0.63,1340000000.0,50.90,1340000000.0,2140000000.0000002,18.66,0.43,0.67,12.78,0.67,2150000000.0,1340000000.0,N/A,1.81,548.00,5.10,812880000.0,13.03,1610000000.0,1.60,13.61,493420000.0,1340000000.0,2.17,102.31,N/A,2.94,14.58,7960000.0,N/A
34,N/A,N/A,aon,N/A,N/A,N/A,N/A,N/A,246.66,27.23,4.51,13.64,16.56,28.75,6.63,48300000000.0,47.10,48300000000.0,42410000000.0,19.65,1.62,3.86,13.74,3.86,5170000000.0,48300000000.0,N/A,7.76,23.90,0.30,1170000000.0,5.11,8930000000.0,1.08,15.45,2700000000.0,48300000000.0,1.00,108.34,N/A,13.89,9.36,18890000.0,N/A
35,N/A,N/A,apa,N/A,N/A,N/A,N/A,N/A,369.01,25.91,1.36,0.48,167.83,39.83,6.79,6260000000.0,12.38,6260000000.0,15140000000.0,25.91,1.36,3.17,2.79,3.17,4630000000.0,6260000000.0,N/A,20.78,0.43,24.80,0.43,0.43,9040000000.0,1.24,4.35,1670000000.0,6260000000.0,0.27,85.69,N/A,1.54,6.27,0.1,N/A
36,N/A,N/A,apd,N/A,N/A,N/A,N/A,N/A,66.83,33.37,7.16,5.22,21.30,25.37,6.37,63160000000.0,40.04,63160000000.0,65120000000.00001,29.94,1.79,7.35,17.51,7.35,3430000000.0,63160000000.0,N/A,8.49,3.30,1.60,6370000000.0,28.83,8320000000.0,3.59,54.65,3260000000.0,63160000000.0,0.28,88.10,N/A,1.17,0.74,1510000.0,N/A
37,N/A,N/A,aph,N/A,N/A,N/A,N/A,N/A,74.73,35.35,4.94,7.95,14.00,18.92,8.77,40080000000.0,27.98,40080000000.0,42440000000.0,30.77,3.02,5.10,22.59,5.10,2620000000.0,40080000000.0,N/A,3.79,23.70,10.60,1460000000.0,4.87,3820000000.0,2.27,16.89,1580000000.0,40080000000.0,1.48,95.65,N/A,1.76,1.05,2049999.9999999998,N/A
38,N/A,N/A,arna,N/A,N/A,N/A,N/A,N/A,4.95,5.46,838.32,3.84,0.00,729.93,19.13,4490000000.0,0.06,4490000000.0,3370000000.0,838.32,838.32,514.76,8.58,514.76,574930000.0,4490000000.0,N/A,7.03,1170000000.0,98.50,1170000000.0,20.08,57970000.0,23.17,20.16,308140000.0,4490000000.0,0.19,91.89,N/A,6.03,6.13,3350000.0,N/A
39,N/A,N/A,ati,N/A,N/A,N/A,N/A,N/A,83.53,4.79,0.63,1.17,11.82,4.50,1.76,2029999999.9999998,26.44,2029999999.9999998,3000000000.0,22.99,1.20,0.90,37.30,0.90,637800000.0,2029999999.9999998,N/A,3.13,572200000.0,41.30,572200000.0,4.51,1550000000.0,3.70,13.67,285100000.0,2029999999.9999998,0.77,97.91,N/A,5.1,11.82,12280000.0,N/A
40,N/A,N/A,atvi,N/A,N/A,N/A,N/A,N/A,25.06,31.54,9.11,4.83,28.89,34.79,8.46,69480000000.0,9.94,69480000000.0,65670000000.0,26.39,1.90,8.57,21.67,8.57,4400000000.0,69480000000.0,N/A,2.85,196.10,52.40,7600000000.0,9.84,3600000000.0,4.12,18.61,2029999999.9999998,69480000000.0,1.22,89.98,N/A,1.21,1.14,8090000.0,N/A
41,N/A,N/A,avb,N/A,N/A,N/A,N/A,N/A,72.58,34.17,9.57,2.08,27.86,33.10,2.54,22230000000.0,16.75,22230000000.0,29890000000.0,36.50,5.76,12.78,19.01,12.78,1560000000.0,22230000000.0,N/A,4.66,47.20,2.80,87530000.0,0.63,7750000000.0,0.63,76.58,1270000000.0,22230000000.0,0.27,93.95,N/A,2.58,2.51,3320000.0,N/A
42,N/A,N/A,avy,N/A,N/A,N/A,N/A,N/A,161.76,25.29,1.97,9.88,7.80,11.82,9.02,13180000000.0,80.98,13180000000.0,15040000000.0,22.73,5.26,2.23,16.44,2.23,1900000000.0,13180000000.0,N/A,6.26,4.10,1.80,316800000.0,3.8,2160000000.0,1.31,15.99,721300000.0,13180000000.0,0.64,91.96,N/A,1.67,0.99,1190000.0,N/A
43,N/A,N/A,axp,N/A,N/A,N/A,N/A,N/A,213.24,30.11,3.49,4.48,10.52,14.32,1.78,98060000000.0,39.94,98060000000.0,30.11,17.64,14.69,1.36,1.36,1.36,27320000000.0,98060000000.0,N/A,4.06,38.90,20.00,33180000000.0,41.21,46630000000.0,1.50,27.17,5290000000.0,98060000000.0,0.10,86.88,N/A,1.99,1.20,7380000.0,N/A
44,N/A,N/A,azo,N/A,N/A,N/A,N/A,N/A,1.06,15.48,2.17,2.58,14.05,20.14,11.99,26860000000.0,555.81,26860000000.0,33490000000.000004,15.46,1.31,2.58,11.41,2.58,6770000000.0,26860000000.0,N/A,76.33,26.30,12.90,1710000000.0,74.93,8520000000.0,1.06,44.94,2960000000.0,26860000000.0,0.34,95.06,N/A,1.71,2.34,0.00,N/A
45,N/A,N/A,ba,N/A,N/A,N/A,N/A,N/A,1.42,49.66,1.98,2.51,7.34,7.42,1.92,118490000000.0,107.34,118490000000.0,152340000000.0,89.29,6.53,2.51,36.30,2.51,4760000000.0,118490000000.0,N/A,7.89,27120000000.0,29.20,27120000000.0,48.03,60960000000.0,1.42,20.94,16620000000.000002,118490000000.0,0.12,52.89,N/A,0.48,2.28,12420000.0,N/A
46,N/A,N/A,bac,N/A,N/A,N/A,N/A,N/A,28.33,14.87,3.03,1.06,25.69,28.75,0.75,259779999999.99997,8.56,259779999999.99997,14.87,13.77,4.05,1.60,1.60,1.60,85580000000.0,259779999999.99997,N/A,2.03,15.50,5.10,815050000000.0,94.22,529030000000.0,28.33,28.33,42500000000.0,259779999999.99997,0.10,71.10,N/A,1.44,0.93,70030000.0,N/A
47,N/A,N/A,bax,N/A,N/A,N/A,N/A,N/A,83.19,46.04,3.65,4.86,7.90,16.81,6.48,41730000000.0,22.69,41730000000.0,44350000000.0,23.81,2.66,3.85,24.37,3.85,4920000000.0,41730000000.0,N/A,1.77,3.50,4.20,4360000000.0,8.53,7160000000.0,2.64,16.77,1980000000.0,41730000000.0,0.14,88.73,N/A,1.87,1.31,6620000.0,N/A
48,N/A,N/A,bbby,N/A,N/A,N/A,N/A,N/A,222.48,33.22,0.24,1.64,2.32,0.63,0.51,2300000000.0,78.70,2300000000.0,3950000000.0,33.22,0.97,0.41,121.16,0.41,3540000000.0,2300000000.0,N/A,1.82,1460000000.0,5.10,1460000000.0,12.2,3110000000.0,1.46,11.68,526220000.0,2300000000.0,5.76,117.88,N/A,9.68,76.07,66129999.99999999,N/A
49,N/A,N/A,bby,N/A,N/A,N/A,N/A,N/A,115.71,15.39,0.58,6.37,3.79,5.26,7.84,26020000000.0,175.16,26020000000.0,25070000000.0,13.62,1.38,0.55,7.86,0.55,10050000000.0,26020000000.0,N/A,6.56,33.40,21.40,5820000000.0,22.46,4730000000.0,1.12,15.84,5540000000.0,26020000000.0,11.40,80.80,N/A,1.25,2.63,5090000.0,N/A
50,N/A,N/A,bdx,N/A,N/A,N/A,N/A,N/A,77.31,93.59,4.18,3.10,5.11,14.72,2.98,73770000000.0,61.36,73770000000.0,88860000000.0,20.20,1.77,5.19,24.23,5.19,7920000000.0,73770000000.0,N/A,2.71,21.00,4.40,2840000000.0,9.81,18370000000.0,1.54,81.94,3540000000.0,73770000000.0,0.66,86.95,N/A,1.19,0.69,3.32,N/A
51,N/A,N/A,beam,N/A,N/A,N/A,N/A,N/A,17.16,29.46,29.46,29.46,0.00,050.00,32.96,5890000000.0,0.00,5890000000.0,5730000000.0,29.46,29.46,49.00,49.00,49.00,113870000.0,5890000000.0,N/A,3.83,202220000.0,0.00,202220000.0,3.58,34330000.0,4.40,3.97,89240000.0,5890000000.0,16.84,65.50,N/A,4.83,7.83,3700000.0,N/A
52,N/A,N/A,ben,N/A,N/A,N/A,N/A,N/A,31.59,15.90,2.24,1.26,14.35,25.37,5.08,12790000000.0,11.32,12790000000.0,13800000000.0,9.51,3.57,2.48,11.70,2.48,2240000000.0,12790000000.0,N/A,1.59,74.20,20.80,3030000000.0,3640000000.0,3640000000.0,2.47,20.43,1020000000.0,12790000000.0,42.87,48.79,N/A,5.5,7.61,22040000.0,N/A
53,N/A,N/A,bf-b,N/A,N/A,N/A,N/A,N/A,110.99,40.64,11.21,15.54,27.58,32.67,11.48,36430000000.0,7.00,36430000000.0,38140000000.0,41.49,4.31,11.40,29.75,11.40,2130000000.0,36430000000.0,N/A,1.92,14.90,0.40,2.01,2.01,2670000000.0,3.73,5.02,644120000.0,36430000000.0,2.50,50.47,N/A,4.25,1.36,4330000.0,N/A
54,N/A,N/A,big,N/A,N/A,N/A,N/A,N/A,150.79,2.81,0.29,1.31,10.30,5.73,5.70,1650000000.0,156.14,1650000000.0,2850000000.0,0.29,0.29,0.47,2.87,0.47,2109999999.9999998,1650000000.0,N/A,15.86,76.40,18.00,547830000.0,14.76,1890000000.0,1.49,33.87,525830000.00000006,1650000000.0,1.00,104.23,N/A,5.77,32.95,8160000.0,N/A
55,N/A,N/A,biib,N/A,N/A,N/A,N/A,N/A,72.91,8.08,2.87,3.50,35.63,46.90,15.95,37680000000.0,85.45,37680000000.0,41930000000.0,9.59,6.24,2.94,5.89,2.94,12420000000.0,37680000000.0,N/A,30.38,54.60,6.20,3580000000.0,23.26,7830000000.0,2.06,69.91,6560000000.0,37680000000.0,0.63,87.89,N/A,2.94,2.51,3710000.0,N/A
56,N/A,N/A,bk,N/A,N/A,N/A,N/A,N/A,45.57,9.97,2.59,0.99,26.21,33.43,1.08,39700000000.0,18.33,39700000000.0,9.97,11.55,4.81,1.06,1.06,1.06,16489999999.999998,39700000000.0,N/A,4.56,9.70,1.00,169780000000.0,191.6,70230000000.0,45.57,45.57,3430000000.0,39700000000.0,0.24,85.07,N/A,1.37,0.80,7090000.0,N/A
57,N/A,N/A,blk,N/A,N/A,N/A,N/A,N/A,22.19,24.93,7.44,3.38,29.83,34.74,2.07,115370000000.0,101.87,115370000000.0,116090000000.0,21.64,2.87,7.39,17.47,7.39,7410000000.0,115370000000.0,N/A,30.11,21.90,18.30,6320000000.0,41.45,7990000000.0,1.41,222.12,3020000000.0,115370000000.0,1.22,87.46,N/A,2.69,1.31,1350000.0,N/A
58,N/A,N/A,bll,N/A,N/A,N/A,N/A,N/A,270.67,59.14,2.68,10.39,4.55,10.92,4.69,29990000000.0,34.96,29990000000.0,36990000000.0,27.62,3.89,3.24,24.08,3.24,2270000000.0,29990000000.0,N/A,1.55,162.00,4.70,2.36,2.36,7990000000.0,1.07,8.83,1240000000.0,29990000000.0,0.57,86.19,N/A,4.27,2.80,8369999.999999999,N/A
59,N/A,N/A,bmy,N/A,N/A,N/A,N/A,N/A,91.20,93.81,3.42,2.75,0.11,20.04,5.39,138180000000.0,18.12,138180000000.0,162710000000.0,8.08,0.81,4.13,11.86,4.13,18930000000.0,138180000000.0,N/A,0.02,38.40,75.50,21280000000.0,9.42,45810000000.0,1.67,22.20,12420000000.0,138180000000.0,0.08,75.79,N/A,1.54,0.68,16140000.0,N/A
60,N/A,N/A,brk-b,N/A,N/A,N/A,N/A,N/A,25.69,15.85,2.02,1.32,14.45,24.68,4.73,549380000000.0,805.75,549380000000.0,635650000000.0,21.69,0.23,2.28,0.86,2.28,105480000000.0,549380000000.0,N/A,232.21,82.40,3.00,145720000000.0,223.58,107690000000.0,1.66,245.47,41300000000.0,549380000000.0,0.19,69.00,N/A,2.54,0.99,11490000.0,N/A
61,N/A,N/A,bsx,N/A,N/A,N/A,N/A,N/A,N/A,14.08,5.14,3.34,7630000000.0,7630000000.0,7630000000.0,52060000000.0,7630000000.0,52060000000.0,59370000000.0,22.57,2.87,5.87,70.01,5.87,7630000000.0,52060000000.0,N/A,N/A,N/A,7630000000.0,N/A,N/A,N/A,N/A,N/A,N/A,52060000000.0,7630000000.0,7630000000.0,N/A,7630000000.0,7630000000.0,7630000000.0,N/A
62,N/A,N/A,btu,N/A,N/A,N/A,N/A,N/A,150.95,3.37,0.09,0.27,62.27,8.81,3.08,287530000.0,33.46,287530000.0,1130000000.0,0.09,0.09,0.35,0.77,0.35,1090000000.0,287530000.0,N/A,20.8350,814600000.0,39.40,814600000.0,8.33,1660000000.0,0.65,10.74,92700000.0,287530000.0,1.26,97.31,N/A,1.55,9.30,8450000.0,N/A
63,N/A,N/A,bwa,N/A,N/A,N/A,N/A,N/A,57.67,22.82,0.94,2.06,4.11,10.10,5.27,9820000000.0,42.77,9820000000.0,10540000000.0,10.75,1.15,1.20,7.75,1.20,2100000000.0,9820000000.0,N/A,1.76,42.80,1.70,2120000000.0,8.67,2840000000.0,2.35,19.45,687880000.0,9820000000.0,0.39,91.53,N/A,6.11,6.71,11690000.0,N/A
64,N/A,N/A,bxp,N/A,N/A,N/A,N/A,N/A,158.71,14.07,4.89,2.36,35.99,33.01,2.61,14020000000.0,18.01,14020000000.0,25980000000.0,31.85,21.02,9.09,11.39,9.09,1840000000.0,14020000000.0,N/A,6.40,16.20,7.50,1710000000.0,11.02,13480000000.0,5.22,38.10,1140000000.0,14020000000.0,0.14,97.42,N/A,3.21,3.24,3800000.0,N/A
65,N/A,N/A,c,N/A,N/A,N/A,N/A,N/A,84.49,12.89,1.83,0.78,20.74,24.68,0.57,136100000000.0,27.62,136100000000.0,12.89,11.17,1.64,1.95,1.95,1.95,66069999999.99999,136100000000.0,N/A,5.14,34.30,6.10,945970000000.0,454.37,578050000000.0,84.49,84.49,N/A,136100000000.0,0.22,76.17,N/A,1.12,1.22,24370000.0,N/A
66,N/A,N/A,cag,N/A,N/A,N/A,N/A,N/A,112.64,15.01,1.45,1.98,9.67,17.94,5.77,16649999999.999998,23.60,16649999999.999998,25840000000.0,14.22,2.92,2.24,11.72,2.24,3100000000.0,16649999999.999998,N/A,2.27,45.50,6.20,0.14,0.14,9540000000.0,0.83,17.18,1960000000.0,16649999999.999998,0.41,84.75,N/A,2.93,2.42,8359999.999999999,N/A
67,N/A,N/A,cah,N/A,N/A,N/A,N/A,N/A,472.98,17.71,0.11,11.62,0.63,1.16,2.78,16410000000.0,529.16,16410000000.0,20400000000.0,9.96,4.11,0.13,10.15,0.13,6870000000.0,16410000000.0,N/A,3.33,2750000000.0,4.60,2750000000.0,9.36,6740000000.0,1.12,4.84,2880000000.0,16410000000.0,0.18,87.74,N/A,2.01,1.85,4090000.0,N/A
68,N/A,N/A,camp,N/A,N/A,N/A,N/A,N/A,212.25,21.32,1.00,3.50,30.51,5.58,2.36,347540000.0,9.91,347540000.0,466650000.0,21.32,1.78,1.38,14.99,1.38,143300000.0,347540000.0,N/A,3.03,91690000.0,8.90,91690000.0,2.62,210800000.0,2.00,2.84,32580000.0,347540000.0,2.79,76.40,N/A,5.89,4.19,1300000.0,N/A
69,N/A,N/A,cat,N/A,N/A,N/A,N/A,N/A,254.35,32.16,2.45,7.06,7.60,11.70,4.13,105530000000.0,80.01,105530000000.0,134340000000.0,26.11,9.43,3.08,18.22,3.08,14460000000.0,105530000000.0,N/A,6.03,55.30,22.60,8510000000.0,15.67,38140000000.0,1.54,27.52,6690000000.0,105530000000.0,0.19,69.59,N/A,2.68,1.39,7320000.0,N/A
70,N/A,N/A,cb,N/A,N/A,N/A,N/A,N/A,35.84,30.54,2.00,1.23,6.55,7.42,0.89,67580000000.0,77.26,67580000000.0,83730000000.0,13.59,1.53,2.40,0.68,2.40,8720000000.0,67580000000.0,N/A,5.05,9.40,5.00,6370000000.0,14.11,20220000000.0,0.35,124.98,8670000000.0,67580000000.0,0.44,91.51,N/A,1.47,0.64,3790000.0,N/A
71,N/A,N/A,cci,N/A,N/A,N/A,N/A,N/A,266.61,94.64,11.04,6.87,13.10,27.51,2.57,65310000000.0,13.78,65310000000.0,90400000000.0,57.80,2.91,15.66,29.61,15.66,3780000000.0,65310000000.0,N/A,1.60,32.60,0.30,0.56,0.56,25330000000.0,0.62,22.05,2880000000.0,65310000000.0,0.41,92.76,N/A,1.61,0.99,3070000.0,N/A
72,N/A,N/A,ccl,N/A,N/A,N/A,N/A,N/A,135.12,5.99,1.42,1.16,73.40,28.05,3.82,22600000000.0,14.42,22600000000.0,40770000000.0,33.33,1.42,3.94,8.61,3.94,7920000000.0,22600000000.0,N/A,10.60,8180000000.0,99.50,8180000000.0,9.05,26350000000.0,0.91,22.76,3590000000.0,22600000000.0,9.63,43.71,N/A,0.93,8.62,86030000.0,N/A
73,N/A,N/A,cern,N/A,N/A,N/A,N/A,N/A,34.09,30.66,4.39,5.46,14.28,14.26,6.92,24060000000.0,18.02,24060000000.0,24500000000.0,23.92,2.97,4.41,16.68,4.41,4620000000.0,24060000000.0,N/A,2.56,335.30,4.30,892480000.0,2.91,1500000000.0,2.29,14.38,1360000000.0,24060000000.0,0.14,87.24,N/A,9.63,4.70,12900000.0,N/A
74,N/A,N/A,cf,N/A,N/A,N/A,N/A,N/A,77.59,32.16,2.27,3.24,7.00,16.33,3.35,9230000000.0,18.89,9230000000.0,12930000000.0,31.45,2.96,3.18,8.54,3.18,1170000000.0,9230000000.0,N/A,1.32,2.59,18.40,2.59,2.59,4250000000.0,1.72,13.21,1240000000.0,9230000000.0,0.52,94.08,N/A,1.17,2.07,4840000.0,N/A
75,N/A,N/A,chrw,N/A,N/A,N/A,N/A,N/A,80.01,27.85,0.83,6.81,2.96,3.90,7.76,12760000000.0,114.00,12760000000.0,14010000000.0,22.42,2.78,0.91,19.85,0.91,1290000000.0,12760000000.0,N/A,3.36,7.10,9.60,252570000.0,1.86,1500000000.0,1.62,13.78,548610000.0,12760000000.0,0.84,96.27,N/A,11.45,11.40,13300000.0,N/A
76,N/A,N/A,ci,N/A,N/A,N/A,N/A,N/A,76.11,13.93,0.47,1.50,3.38,5.85,3.64,71830000000.0,426.14,71830000000.0,102470000000.0,9.70,0.91,0.65,0.88,0.65,25260000000.0,71830000000.0,N/A,14.25,2.70,6.20,6670000000.0,18.46,36610000000.0,0.79,132.57,8850000000.0,71830000000.0,1.51,91.33,N/A,2.12,1.01,3710000.0,N/A
77,N/A,N/A,cim,N/A,N/A,N/A,N/A,N/A,369.16,256.25,10.03,0.65,10.05,84.88,0.31,2400000000.0,3.55,2400000000.0,256.25,7.94,10.03,62.06,1.01,62.06,850510000.0,2400000000.0,N/A,0.01,245.50,57.90,325720000.0,1.39,13650000000.0,2.36,15.92,390430000.0,2400000000.0,1.45,51.44,N/A,1.8,1.86,7180000.0,N/A
78,N/A,N/A,cinf,N/A,N/A,N/A,N/A,N/A,9.92,18.15,2.05,1.45,11.34,14.54,2.49,14120000000.0,43.23,14120000000.0,14180000000.0,22.52,2.05,2.03,0.60,2.03,2630000000.0,14120000000.0,N/A,4.87,95.20,31.00,5.68,5.68,9.92,1.20,60.60,1450000000.0,14120000000.0,6.85,67.57,N/A,8.48,5.66,4960000.0,N/A
79,N/A,N/A,cl,N/A,N/A,N/A,N/A,N/A,674.74,27.32,4.54,112.25,16.65,23.74,15.73,73300000000.0,18.85,73300000000.0,79540000000.0,26.32,3.91,4.92,18.42,4.92,9340000000.0,73300000000.0,N/A,3.13,20.80,5.70,1070000000.0000001,1.25,7240000000.0,0.98,0.76,3730000000.0,73300000000.0,0.23,80.69,N/A,2.48,1.01,9470000.0,N/A
80,N/A,N/A,cldx,N/A,N/A,N/A,N/A,N/A,1.66,92.47,92.47,3.02,0.00,150.00,16.76,693610000.0,0.19,693610000.0,497820000.0,92.47,92.47,110.14,10.45,110.14,39100000.0,693610000.0,N/A,2.03,199590000.0,22.30,199590000.0,5.04,3810000.0,16.63,5.81,46190000.0,693610000.0,0.16,82.07,N/A,3.15,5.57,2820000.0,N/A
81,N/A,N/A,clf,N/A,N/A,N/A,N/A,N/A,399.03,137.83,1.67,10.41,3.38,4.11,1.56,8610000000.0,10.62,8610000000.0,13040000000.0,47.85,1.67,3.59,64.21,3.59,575700000.0,8610000000.0,N/A,0.36,0.14,196.30,0.14,0.14,4480000000.0,2.16,2.03,124800000.0,8610000000.0,21.15,70.62,N/A,4.01,13.91,64129999.99999999,N/A
82,N/A,N/A,clx,N/A,N/A,N/A,N/A,N/A,237.45,22.46,3.62,22.83,16.14,20.18,14.77,25450000000.0,56.61,25450000000.0,27710000000.0,27.32,4.53,3.89,15.93,3.89,3060000000.0,25450000000.0,N/A,9.00,104.40,27.20,6.82,6.82,3110000000.0,1.41,8.85,1660000000.0,25450000000.0,0.17,85.84,N/A,8.41,11.55,13820000.0,N/A
83,N/A,N/A,cma,N/A,N/A,N/A,N/A,N/A,53.79,15.39,2.63,1.04,21.76,29.31,0.68,7770000000.0,17.30,7770000000.0,15.39,13.62,21.31,1.69,1.69,1.69,3270000000.0,7770000000.0,N/A,3.63,27.70,12.60,11780000000.0,84.67,5900000000.0,53.79,53.79,N/A,7770000000.0,1.03,81.08,N/A,1.53,2.69,4150000.0000000005,N/A
84,N/A,N/A,cmcsa,N/A,N/A,N/A,N/A,N/A,123.38,23.50,2.32,2.78,9.90,18.05,4.48,239750000000.0,22.82,239750000000.0,330460000000.0,17.95,1.45,3.17,10.53,3.17,74500000000.0,239750000000.0,N/A,2.23,37.20,4.80,13710000000.0,109590000000.0,109590000000.0,0.93,18.83,25930000000.0,239750000000.0,0.67,85.68,N/A,4.32,1.66,81400000.0,N/A
85,N/A,N/A,cme,N/A,N/A,N/A,N/A,N/A,15.08,32.23,14.08,2.57,43.80,56.28,1.68,69420000000.0,13.73,69420000000.0,71440000000.0,29.07,5.62,14.51,20.78,14.51,4860000000.0,69420000000.0,N/A,6.00,35.30,15.50,1420000000.0,3.97,4070000000.0000005,1.02,75.36,2780000000.0,69420000000.0,1.39,86.90,N/A,3.69,1.81,5660000.0,N/A
86,N/A,N/A,cmg,N/A,N/A,N/A,N/A,N/A,171.19,163.65,6.67,21.20,4.08,5.37,3.69,39240000000.0,208.79,39240000000.0,41330000000.0,64.52,2.37,7.10,57.72,7.10,1900000000.0,39240000000.0,N/A,8.36,18.60,14.10,1010000000.0,35.93,3090000000.0,1.51,64.53,735310000.0,39240000000.0,1.15,97.69,N/A,3.82,3.71,1020000.0,N/A
87,N/A,N/A,cmi,N/A,N/A,N/A,N/A,N/A,53.79,21.94,1.79,4.50,8.12,9.18,5.35,34680000000.0,131.25,34680000000.0,35930000000.0,16.92,2.46,1.84,12.67,1.84,5980000000.0,34680000000.0,N/A,10.61,19.50,11.30,3310000000.0,22.38,4650000000.0,1.94,52.03,2420000000.0,34680000000.0,0.32,85.28,N/A,2.22,1.89,2730000.0,N/A
88,N/A,N/A,cms,N/A,N/A,N/A,N/A,N/A,256.61,22.37,2.56,3.21,11.44,21.48,3.24,17100000000.000002,23.48,17100000000.000002,31720000000.0,20.96,2.92,4.75,12.80,4.75,2560000000.0,17100000000.000002,N/A,2.67,5.30,1.90,1.81,1.81,15130000000.0,0.83,18.58,1540000000.0,17100000000.000002,0.45,92.85,N/A,2.2,1.62,3310000.0,N/A
89,N/A,N/A,cnp,N/A,N/A,N/A,N/A,N/A,159.10,12.80,0.94,2.02,6.73,13.02,2.93,11960000000.0,23.33,11960000000.0,26710000000.0,15.58,13.41,2.20,27.23,2.20,3320000000.0,11960000000.0,N/A,1.88,55.20,2.20,1060000000.0,1.96,13350000000.0,0.73,10.89,1990000000.0,11960000000.0,0.29,98.01,N/A,2.54,3.30,18440000.0,N/A
90,N/A,N/A,cnx,N/A,N/A,N/A,N/A,N/A,64.28,5.75,2.10,0.64,84.76,50.68,4.08,2720000000.0,5.81,2720000000.0,5300000000.0,2.10,2.10,4.76,10.67,4.76,1030000000.0,2720000000.0,N/A,4.93,150280000.0,25.60,150280000.0,0.67,2740000000.0,0.65,19.02,748810000.0,2720000000.0,2.18,92.52,N/A,4.48,11.54,16030000.000000002,N/A
91,N/A,N/A,cof,N/A,N/A,N/A,N/A,N/A,116.08,53.75,1.82,0.87,7.88,11.44,0.33,50570000000.0,36.65,50570000000.0,53.75,13.02,0.06,1.72,1.72,1.72,22360000000.0,50570000000.0,N/A,2.07,80.50,26.40,46580000000.0,101.85,43830000000.0,116.08,116.08,16190000000.000002,50570000000.0,0.89,92.27,N/A,1.67,1.09,5840000.0,N/A
92,N/A,N/A,cog,N/A,N/A,N/A,N/A,N/A,56.47,32.87,4.76,3.28,14.86,19.77,4.06,6880000000.0,3.64,6880000000.0,8080000000.0,9.07,4.01,5.49,10.70,5.49,1330000000.0,6880000000.0,N/A,0.53,1200000000.0,20.30,1200000000.0,1200000000.0,1200000000.0,0.84,5.32,733370000.0,6880000000.0,2.01,100.75,N/A,2.79,5.22,17260000.0,N/A
93,N/A,N/A,cop,N/A,N/A,N/A,N/A,N/A,49.99,14.03,2.31,1.55,5.63,4.77,0.96,47740000000.0,19.82,47740000000.0,55800000000.0,48.54,2.31,2.66,10.14,2.66,16180000000.0,47740000000.0,N/A,1.12,7330000000.0,45.10,7330000000.0,6.83,15390000000.0,2.38,28.70,6110000000.0,47740000000.0,0.04,75.96,N/A,2.97,3.90,34570000.0,N/A
94,N/A,N/A,cost,N/A,N/A,N/A,N/A,N/A,66.62,38.68,0.97,11.23,2.50,3.70,7.16,166900000000.0,390.73,166900000000.0,162670000000.0,38.17,4.04,0.94,21.49,0.94,21930000000.0,166900000000.0,N/A,9.74,38.20,16.70,14420000000.0,32.56,10200000000.0,0.98,33.55,9410000000.0,166900000000.0,0.22,70.04,N/A,1.29,0.73,3030000.0,N/A
95,N/A,N/A,cpb,N/A,N/A,N/A,N/A,N/A,227.80,20.06,1.66,5.29,20.02,15.37,6.66,14650000000.0,29.27,14650000000.0,20010000000.0,16.45,1.08,2.26,12.68,2.26,3010000000.0,14650000000.0,N/A,5.82,86.10,7.20,2.38,2.38,6320000000.0,0.85,9.14,1510000000.0,14650000000.0,35.54,53.76,N/A,9.67,10.62,19250000.0,N/A
96,N/A,N/A,crm,N/A,N/A,N/A,N/A,N/A,15.44,58.28,10.10,5.06,17.53,1.31,0.31,203770000000.0,22.51,203770000000.0,200120000000.0,63.29,3.17,9.87,70.56,9.87,12860000000.0,203770000000.0,N/A,3.86,9490000000.0,20.10,9490000000.0,10.37,6220000000.0,1.22,44.10,4260000000.0,203770000000.0,3.62,83.47,N/A,1.5,2.60,15920000.0,N/A
