,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior month),Status
254,N/A,N/A,mcd,N/A,N/A,N/A,N/A,N/A,1.07,N/A,N/A,N/A,25.88,38.16,9.41,0.58,25.53,745110000.0,N/A,N/A,N/A,N/A,N/A,19030000000.0,11120000000.0,0.58,N/A,6.55,9.60,1.50,3680000000.0,4.94,51290000000.0,1.07,11.37,6160000000.0,0.58,0.06,68.80,N/A,1.81,0.82,4720000.0,N/A
255,N/A,N/A,mchp,N/A,N/A,N/A,N/A,N/A,169.33,N/A,N/A,N/A,11.62,14.79,2.79,1.69,21.29,268850000.0,N/A,N/A,N/A,N/A,N/A,5230000000.0,3240000000.0,1.69,N/A,2.34,32.40,2.10,370300000.0,1.42,9220000000.0,1.07,20.92,1720000000.0,1.69,2.06,96.36,N/A,3.35,2.71,12090000.0,N/A
256,N/A,N/A,mck,N/A,N/A,N/A,N/A,N/A,132.01,N/A,N/A,N/A,0.95,1.25,3.03,0.94,381.68,162120000.0,N/A,N/A,N/A,N/A,N/A,234190000000.0,12020000000.0,0.94,N/A,13.03,3090000000.0,5.50,3090000000.0,19.25,9710000000.0,0.99,36.68,4490000000.0,0.94,0.05,89.03,N/A,1.11,0.87,1530000.0,N/A
257,N/A,N/A,mco,N/A,N/A,N/A,N/A,N/A,407.21,N/A,N/A,N/A,34.32,46.63,14.65,1.17,28.30,187800000.0,N/A,N/A,N/A,N/A,N/A,5310000000.0,3440000000.0,1.17,N/A,9.60,22.90,9.40,2590000000.0,13.78,6890000000.0,2.49,7.97,1970000000.0,1.17,0.36,93.29,N/A,3.18,1.56,2310000.0,N/A
258,N/A,N/A,mdlz,N/A,N/A,N/A,N/A,N/A,76.86,N/A,N/A,N/A,11.73,16.08,4.05,0.63,18.26,1430000000.0,N/A,N/A,N/A,N/A,N/A,26200000000.0,10340000000.0,0.63,N/A,2.12,21.50,4.90,2770000000.0,1.94,20770000000.0,0.75,18.84,4400000000.0,0.63,0.11,78.63,N/A,1.68,0.70,10290000.0,N/A
259,N/A,N/A,mdt,N/A,N/A,N/A,N/A,N/A,59.64,N/A,N/A,N/A,13.30,14.63,2.73,0.71,20.77,1350000000.0,N/A,N/A,N/A,N/A,N/A,27870000000.0,19640000000.0,0.71,N/A,2.74,64.10,0.80,14280000000.0,10.61,30010000000.0,2.16,37.28,5380000000.0,0.71,0.06,83.39,N/A,1.26,0.42,7220000.0,N/A
260,N/A,N/A,met,N/A,N/A,N/A,N/A,N/A,152.58,N/A,N/A,N/A,8.91,11.71,0.63,1.35,71.86,899950000.0,N/A,N/A,N/A,N/A,N/A,65569999999.99999,20480000000.0,1.35,N/A,6.11,67.70,14.30,37760000000.0,41.95,112250000000.0,1.02,80.96,11670000000.0,1.35,15.25,77.35,N/A,2.54,1.94,12600000.0,N/A
261,N/A,N/A,mgm,N/A,N/A,N/A,N/A,N/A,171.73,N/A,N/A,N/A,21.61,22.39,2.71,2.44,13.24,493940000.0,N/A,N/A,N/A,N/A,N/A,6600000000.0,5300000000.0,2.44,N/A,2.95,4590000000.0,65.90,4590000000.0,9.3,20200000000.0,2.24,13.91,795310000.0,2.44,12.72,66.33,N/A,2.73,7.01,33540000.0,N/A
262,N/A,N/A,mkc,N/A,N/A,N/A,N/A,N/A,109.31,N/A,N/A,N/A,13.75,18.87,6.14,0.44,20.77,248700000.0,N/A,N/A,N/A,N/A,N/A,5530000000.0,2150000000.0,0.44,N/A,2.83,7.40,7.60,0.83,0.83,4310000000.0,0.90,14.74,1080000000.0,0.44,0.22,83.22,N/A,4.53,1.73,5270000.0,N/A
263,N/A,N/A,mmc,N/A,N/A,N/A,N/A,N/A,171.22,N/A,N/A,N/A,11.91,23.55,7.88,0.85,33.74,507190000.0,N/A,N/A,N/A,N/A,N/A,17070000000.0,7340000000.0,0.85,N/A,3.98,4.30,0.00,2390000000.0,4.71,14980000000.0,1.27,16.94,3070000000.0,0.85,0.11,89.61,N/A,0.72,0.72,3280000.0,N/A
